Flow_Time*,Flow
14839,0.997261098
14840,1.014651148
14841,0.995823908
14842,0.998783477
14843,0.989904519
14844,1.010715208
14845,0.990258279
14846,1.021417963
14847,0.991881255
14848,1.000661321
14849,0.990764601
14850,0.994031048
14851,1.00337968
14852,1.02298508
14853,1.011342799
14854,1.016287367
14855,1.001791525
14856,1.014128156
14857,1.003090884
14858,1.018959468
14859,1.009328653
14860,1.034093798
14861,1.002491808
14862,1.0147053
14863,1.012031436
14864,1.019807437
14865,1.016526232
14866,1.027139864
14867,1.015548348
14868,1.019477714
14869,1.004108438
14870,1.012274174
14871,1.007810475
14872,1.026960788
14873,0.994820492
14874,1.013817617
14875,0.997618582
14876,1.00625889
14877,1.000805782
14878,1.010439719
14879,0.989960144
14880,1.010721592
14881,1.002068592
14882,0.999875078
14883,1.000358453
14884,1.02214651
14885,0.993496196
14886,1.01631695
14887,1.009463953
14888,1.026018648
14889,1.015045892
14890,1.013737336
14891,1.013766236
14892,1.037026794
14893,1.013567183
14894,1.018775125
14895,1.009631139
14896,0.985829319
14897,1.00955152
14898,1.008677597
14899,0.994572658
14900,1.029525431
14901,1.008966439
14902,1.011876784
14903,0.999218999
14904,1.015350742
14905,1.003190974
14906,1.008518142
14907,0.98293988
14908,0.977799676
14909,0.985582404
14910,0.999299597
14911,0.984600017
14912,1.010159067
14913,0.995549766
14914,1.009683695
14915,1.000859509
14916,1.00699395
14917,1.007519122
14918,1.013273562
14919,0.999397372
14920,1.01791808
14921,1.002983479
14922,1.013294415
14923,1.012056504
14924,1.010893984
14925,1.002645174
14926,1.019882182
14927,1.000089101
14928,1.029017323
14929,1.036569445
14930,1.04225012
14931,1.012277376
14932,1.025436779
14933,0.999536785
14934,1.018679466
14935,1.001420599
14936,1.021690774
14937,1.025742424
14938,1.015346984
14939,1.014465146
14940,1.030832483
14941,1.019542126
14942,1.025889287
14943,1.025015857
14944,1.022496473
14945,1.034926995
14946,1.041644049
14947,1.018438507
14948,1.034260887
14949,1.027294821
14950,1.043516548
14951,1.04884859
14952,1.043033629
14953,1.033471587
14954,1.061082572
14955,1.039289793
14956,1.053606648
14957,1.028068105
14958,1.038431027
14959,1.036012999
14960,1.021558698
14961,1.007207334
14962,0.970204589
14963,0.987078946
14964,1.050156384
14965,1.033671303
14966,1.040916227
14967,1.02798335
14968,1.042743638
14969,1.039152565
14970,1.041604498
14971,1.035848137
14972,1.035773826
14973,1.034591882
14974,1.034778091
14975,1.027451474
14976,1.042121723
14977,1.011232022
14978,1.032013058
14979,1.001496852
14980,1.00343316
14981,1.00505546
14982,1.001765395
14983,1.011657686
14984,1.025159227
14985,0.987403779
14986,1.002006893
14987,0.993107761
14988,0.996229976
14989,0.993666875
14990,1.021508159
14991,1.005311178
14992,1.021644571
14993,1.014522494
14994,1.010286617
14995,1.013864721
14996,1.024458625
14997,1.001409633
14998,1.034810991
14999,1.027771523
15000,1.02705746
15001,1.029887095
15002,1.032804574
15003,1.020239268
15004,1.031658768
15005,1.019634157
15006,1.037317535
15007,1.020455592
15008,1.03023851
15009,1.026721934
15010,1.011483435
15011,1.010959445
15012,1.028883346
15013,1.026805383
15014,1.040374268
15015,1.018600035
15016,1.01524499
15017,1.008674948
15018,1.033814322
15019,1.011715783
15020,1.034957673
15021,1.02536943
15022,1.03337871
15023,1.023875795
15024,1.02983131
15025,1.010014549
15026,1.022652754
15027,1.015635899
15028,1.016000231
15029,0.997279743
15030,1.003301568
15031,1.006774322
15032,1.019670974
15033,1.002264723
15034,1.017686649
15035,1.012373971
15036,0.999762115
15037,0.996450197
15038,0.995744386
15039,1.002319131
15040,1.036399372
15041,1.009397095
15042,1.00638282
15043,1.024367907
15044,1.022373441
15045,1.012164261
15046,1.026643439
15047,1.010785966
15048,1.024564119
15049,1.013836887
15050,1.01010965
15051,1.006715736
15052,1.033610101
15053,1.007617983
15054,1.034580734
15055,1.018540604
15056,1.026607763
15057,1.019651482
15058,1.026414608
15059,1.025124749
15060,1.023831577
15061,1.016977909
15062,1.029279866
15063,1.027391006
15064,1.020114612
15065,1.015081842
15066,1.025549047
15067,1.012636632
15068,1.037957851
15069,1.01186452
15070,1.033489386
15071,1.024025399
15072,1.042424949
15073,1.014697794
15074,1.02575941
15075,0.997768906
15076,1.034418557
15077,1.028159479
15078,1.022583592
15079,1.011999435
15080,1.028507513
15081,1.004833522
15082,1.025705167
15083,1.008871023
15084,1.042429476
15085,1.027227777
15086,1.021486424
15087,1.009846174
15088,1.042543232
15089,1.022298875
15090,1.035094353
15091,1.005618107
15092,1.012802733
15093,1.01453107
15094,1.023641648
15095,1.006365943
15096,1.026877863
15097,1.009123384
15098,1.026098144
15099,1.008798414
15100,1.015748717
15101,1.008967499
15102,1.030591825
15103,1.007545025
15104,1.021019876
15105,1.003381778
15106,1.000052643
15107,0.998475514
15108,1.01463989
15109,0.99552138
15110,1.01154684
15111,1.014588425
15112,1.008240144
15113,1.007284999
15114,1.003988217
15115,0.986678274
15116,1.004979717
15117,0.987952928
15118,1.009865292
15119,1.011228827
15120,1.019876223
15121,1.007224768
15122,1.00805278
15123,1.008024205
15124,1.020084807
15125,0.998775165
15126,1.002033036
15127,0.993328659
15128,0.998613113
15129,0.973933974
15130,1.007115948
15131,0.999494645
15132,0.99881153
15133,0.988626863
15134,1.003522305
15135,0.973824327
15136,0.99775439
15137,0.990586231
15138,1.012950722
15139,0.997401471
15140,1.000871507
15141,0.966365525
15142,0.988694053
15143,0.994175145
15144,0.999151411
15145,1.00110579
15146,1.0176942
15147,1.015312626
15148,1.026333965
15149,0.992681141
15150,1.011707787
15151,1.022945298
15152,1.016714068
15153,1.009509592
15154,1.022808539
15155,1.014774473
15156,1.019196346
15157,1.010944542
15158,1.005653919
15159,1.002543099
15160,1.016293283
15161,1.006124448
15162,1.027421788
15163,1.010790755
15164,1.011412579
15165,1.009555766
15166,1.026172718
15167,0.994814307
15168,1.028233252
15169,1.001460813
15170,1.034263672
15171,1.026326834
15172,1.016922437
15173,0.993280875
15174,1.004374181
15175,0.985847539
15176,0.998643754
15177,1.010552981
15178,1.007255939
15179,1.016872895
15180,1.024241147
15181,1.013425432
15182,1.02743773
15183,1.013794067
15184,1.010440783
15185,1.001145978
15186,1.018439588
15187,1.013119065
15188,1.029461407
15189,1.010210083
15190,1.00986423
15191,1.021928924
15192,1.029800383
15193,1.023649833
15194,1.031543496
15195,1.001969249
15196,1.034803742
15197,1.021824516
15198,1.027593877
15199,1.013163431
15200,1.0257227
15201,1.016322867
15202,1.039785578
15203,1.021586415
15204,1.021200687
15205,1.028877282
15206,1.023668386
15207,1.036653384
15208,1.046470244
15209,1.011069097
15210,1.026307087
15211,1.005296968
15212,1.007515422
15213,1.004749927
15214,1.005040205
15215,1.008249143
15216,1.013427037
15217,0.997617027
15218,1.023303988
15219,1.00309298
15220,1.018916214
15221,1.024041782
15222,1.031828398
15223,1.00692425
15224,1.037106886
15225,1.016051839
15226,1.01039187
15227,1.019777108
15228,1.021294648
15229,1.000569033
15230,1.019788481
15231,1.009593982
15232,1.002474014
15233,1.027049769
15234,0.99987664
15235,1.009280909
15236,1.027101407
15237,1.003030106
15238,1.017621393
15239,1.008125812
15240,1.011347592
15241,1.01507433
15242,1.030144002
15243,0.988306311
15244,1.026612703
15245,1.013676331
15246,1.022356023
15247,1.02495841
15248,1.00965662
15249,1.019896265
15250,1.034504376
15251,1.016336314
15252,1.021794611
15253,1.017592813
15254,1.016975216
15255,1.023739333
15256,1.018647044
15257,1.003780392
15258,1.015498939
15259,1.022626613
15260,1.035577207
15261,1.018070806
15262,1.008687134
15263,0.996749668
15264,1.015654163
15265,1.00680441
15266,1.02183811
15267,1.008217911
15268,1.016115819
15269,1.014264211
15270,1.02084347
15271,1.005167518
15272,1.021850616
15273,1.033708584
15274,1.032344836
15275,1.037004393
15276,1.031884399
15277,1.031421048
15278,1.047511477
15279,1.051195763
15280,1.04961968
15281,1.038603453
15282,1.056418445
15283,1.026110207
15284,1.039296543
15285,1.01618841
15286,1.023632917
15287,0.992684733
15288,1.031001841
15289,1.024629722
15290,1.029963877
15291,1.019511272
15292,1.023659655
15293,0.999523779
15294,1.001678129
15295,0.981716264
15296,0.991449546
15297,0.994221986
15298,0.994707637
15299,1.003478255
15300,1.028271794
15301,0.997808308
15302,1.003084072
15303,1.01003633
15304,1.003842311
15305,1.002276755
15306,1.012715136
15307,0.981975306
15308,1.000656106
15309,1.00234529
15310,1.011945571
15311,0.984833308
15312,1.023073373
15313,1.011236282
15314,1.028760426
15315,1.014768038
15316,1.013998028
15317,1.015625156
